short_name,age,nationality_name,overall,club_name,height_cm,weight_kg,player_positions,potential,fifa_version,pace,shooting,passing,dribbling,defending,physic,weak_foot,skill_moves,league_level,league_name,value_eur
A. Ajeti,20,Switzerland,54,St. Gallen,186,82,CB,61,18.0,45.0,27.0,26.0,29.0,53.0,58.0,3,2,1.0,Super League,80000.0
A. Ajeti,21,Switzerland,72,Basel,183,77,"ST, CF",79,19.0,79.0,68.0,55.0,69.0,29.0,75.0,4,3,1.0,Super League,4400000.0
A. Ajeti,22,Switzerland,74,West Ham United,183,78,ST,82,20.0,78.0,72.0,60.0,69.0,29.0,75.0,4,3,1.0,Premier League,8500000.0
A. Ajeti,22,Switzerland,54,St. Gallen,186,82,CB,62,20.0,46.0,27.0,26.0,30.0,53.0,59.0,3,2,1.0,Super League,90000.0
A. Ajeti,23,Switzerland,72,Celtic,183,78,ST,79,21.0,77.0,71.0,60.0,69.0,29.0,73.0,4,3,1.0,Premiership,4700000.0
A. Ajeti,26,Albania,62,Vejle,184,83,CB,66,21.0,61.0,35.0,50.0,48.0,61.0,66.0,1,2,1.0,Superliga,500000.0
A. Ajeti,23,Switzerland,54,St. Gallen,186,82,CB,62,21.0,41.0,27.0,26.0,30.0,53.0,62.0,3,2,1.0,Super League,220000.0
A. Ajeti,24,Switzerland,71,Celtic,183,78,ST,76,22.0,74.0,70.0,60.0,70.0,29.0,71.0,4,3,1.0,Premiership,2900000.0
A. Ajeti,25,Switzerland,69,Sturm Graz,183,78,ST,73,23.0,71.0,69.0,55.0,66.0,28.0,67.0,3,3,1.0,Bundesliga,2000000.0
A. Ajeti,26,Switzerland,68,Gaziantep F.K.,183,78,ST,70,24.0,71.0,68.0,55.0,66.0,28.0,70.0,3,3,1.0,Super Lig,1500000.0
A. Ajeti,29,Albania,66,CFR Cluj,184,83,CB,66,24.0,61.0,35.0,51.0,52.0,64.0,74.0,1,2,1.0,Liga 1,725000.0
A. Al Barakah,23,Saudi Arabia,49,Al Raed,170,65,CDM,57,15.0,55.0,33.0,47.0,48.0,45.0,58.0,3,2,1.0,Pro League,25000.0
A. Al Barakah,24,Saudi Arabia,57,Al Taawon,170,65,CDM,62,16.0,61.0,34.0,50.0,52.0,55.0,67.0,3,2,1.0,Pro League,140000.0
A. Al Barakah,25,Saudi Arabia,58,Al Taawon,170,65,"CDM, CM",61,17.0,58.0,34.0,50.0,52.0,56.0,68.0,3,2,1.0,Pro League,140000.0
A. Al Barakah,26,Saudi Arabia,62,Al Fayha,175,69,"CDM, CM",63,18.0,59.0,40.0,53.0,58.0,60.0,70.0,3,2,1.0,Pro League,300000.0
A. Al Barakah,27,Saudi Arabia,62,Al Fayha,175,69,"CDM, CM",62,19.0,57.0,40.0,53.0,58.0,60.0,69.0,3,2,1.0,Pro League,250000.0
A. Al Barakah,28,Saudi Arabia,64,Al Fayha,175,69,"CDM, CM",64,20.0,58.0,45.0,55.0,61.0,61.0,72.0,3,2,1.0,Pro League,400000.0
A. Al Barakah,29,Saudi Arabia,64,Al Fayha,175,69,"CDM, CM",64,21.0,58.0,45.0,56.0,63.0,60.0,72.0,3,2,1.0,Pro League,500000.0
A. Al Barakah,30,Saudi Arabia,63,Abha,175,68,"CDM, CM",63,22.0,57.0,46.0,55.0,61.0,59.0,72.0,3,2,1.0,Pro League,400000.0
A. Al Barakah,31,Saudi Arabia,63,Abha,175,68,"CDM, CM",63,23.0,57.0,46.0,55.0,62.0,59.0,72.0,3,2,1.0,Pro League,325000.0
A. Al Barakah,32,Saudi Arabia,60,Abha,173,74,"CDM, CM",60,24.0,53.0,46.0,53.0,58.0,58.0,68.0,3,2,1.0,Pro League,160000.0
A. Al Bishi,26,Saudi Arabia,50,Al Shabab,172,70,CM,57,15.0,67.0,41.0,55.0,55.0,39.0,50.0,3,3,1.0,Pro League,35000.0
A. Al Bishi,21,Saudi Arabia,63,Al Shabab,170,67,LM,69,16.0,84.0,53.0,57.0,65.0,27.0,60.0,2,3,1.0,Pro League,450000.0
A. Al Bishi,22,Saudi Arabia,64,Al Shabab,169,69,LM,70,17.0,89.0,53.0,57.0,65.0,27.0,66.0,2,3,1.0,Pro League,575000.0
A. Al Bishi,23,Saudi Arabia,64,Al Taawon,169,69,LM,70,18.0,89.0,53.0,57.0,65.0,27.0,64.0,2,3,1.0,Pro League,625000.0
A. Al Bishi,24,Saudi Arabia,63,Al Faisaly,169,69,LM,68,19.0,87.0,51.0,57.0,64.0,27.0,65.0,3,2,1.0,Pro League,500000.0
A. Al Bishi,19,Saudi Arabia,59,Al Ittihad,195,80,CB,74,19.0,67.0,38.0,42.0,35.0,59.0,54.0,3,2,1.0,Pro League,300000.0
A. Al Bishi,22,Saudi Arabia,57,Al Qadisiyah,178,80,"CB, CDM",66,19.0,52.0,29.0,35.0,37.0,57.0,60.0,2,2,1.0,Pro League,140000.0
A. Al Bishi,25,Saudi Arabia,65,Al Ittihad,173,73,"RM, LM",68,20.0,89.0,55.0,58.0,67.0,27.0,66.0,3,3,1.0,Pro League,675000.0
A. Al Bishi,20,Saudi Arabia,59,Al Fayha,195,80,CB,72,20.0,56.0,38.0,42.0,34.0,59.0,58.0,3,2,1.0,Pro League,275000.0
A. Al Bishi,26,Saudi Arabia,64,Al Ittihad,173,73,"RW, LW",65,21.0,89.0,55.0,58.0,67.0,27.0,65.0,3,3,1.0,Pro League,700000.0
A. Al Bishi,21,Saudi Arabia,57,Al Ittihad,195,80,CB,70,21.0,52.0,38.0,41.0,33.0,58.0,57.0,3,2,1.0,Pro League,375000.0
A. Al Bishi,27,Saudi Arabia,66,Al Ittihad,173,73,"RM, LM",66,22.0,86.0,55.0,61.0,69.0,27.0,64.0,3,3,1.0,Pro League,900000.0
A. Al Bishi,22,Saudi Arabia,58,Al Taawon,195,75,CB,69,22.0,54.0,38.0,41.0,35.0,60.0,60.0,3,2,1.0,Pro League,425000.0
A. Al Bishi,28,Saudi Arabia,69,Al Ittihad,173,73,"RM, LM",69,23.0,89.0,59.0,62.0,72.0,28.0,66.0,2,3,1.0,Pro League,1400000.0
A. Al Bishi,23,Saudi Arabia,61,Al Taawon,195,75,CB,69,23.0,66.0,38.0,41.0,36.0,62.0,67.0,3,2,1.0,Pro League,675000.0
A. Al Bishi,20,Saudi Arabia,52,Al Wahda,182,75,ST,64,23.0,63.0,51.0,42.0,50.0,21.0,60.0,3,2,1.0,Pro League,190000.0
A. Al Bishi,29,Saudi Arabia,67,Damac,176,75,"RW, LW",67,24.0,85.0,58.0,62.0,72.0,28.0,63.0,2,3,1.0,Pro League,1000000.0
A. Al Bishi,24,Saudi Arabia,62,Al Taawon,195,75,"CB, RB",67,24.0,66.0,38.0,41.0,36.0,62.0,69.0,3,2,1.0,Pro League,550000.0
A. Al Bishi,21,Saudi Arabia,52,Al Wahda,182,75,ST,64,24.0,63.0,51.0,42.0,50.0,21.0,60.0,3,2,1.0,Pro League,200000.0
A. Al Fahad,22,Saudi Arabia,53,Al Shabab,173,64,CDM,59,15.0,74.0,51.0,46.0,48.0,54.0,59.0,3,2,1.0,Pro League,40000.0
A. Al Fahad,22,Saudi Arabia,46,Al Faisaly,173,64,CM,51,15.0,73.0,34.0,51.0,48.0,41.0,45.0,2,2,1.0,Pro League,30000.0
A. Al Fahad,23,Saudi Arabia,54,Al Shabab,173,64,CDM,59,16.0,74.0,52.0,47.0,49.0,55.0,59.0,3,2,1.0,Pro League,80000.0
A. Al Fahad,23,Saudi Arabia,53,Al Faisaly,173,64,CM,58,16.0,73.0,38.0,55.0,57.0,44.0,59.0,3,2,1.0,Pro League,80000.0
A. Al Fahad,22,Saudi Arabia,56,Al Shabab,177,69,"CDM, CB",61,17.0,72.0,52.0,47.0,49.0,55.0,63.0,3,2,1.0,Pro League,120000.0
A. Al Fahad,23,Saudi Arabia,64,Al Shabab,177,69,CB,69,18.0,70.0,52.0,47.0,49.0,62.0,73.0,3,2,1.0,Pro League,500000.0
A. Al Fahad,25,Saudi Arabia,60,Al Fayha,178,75,"CAM, CM",62,18.0,66.0,44.0,60.0,64.0,52.0,68.0,3,2,1.0,Pro League,250000.0
A. Al Fahad,24,Saudi Arabia,64,Al Raed,176,73,CB,67,19.0,68.0,52.0,47.0,49.0,61.0,73.0,3,2,1.0,Pro League,475000.0
A. Al Fahad,25,Saudi Arabia,63,Al Raed,176,73,"CB, RB",66,20.0,67.0,52.0,49.0,49.0,61.0,73.0,3,2,1.0,Pro League,425000.0
A. Al Fahad,26,Saudi Arabia,63,Al Raed,176,73,"CB, RB",66,21.0,67.0,52.0,49.0,49.0,62.0,75.0,3,2,1.0,Pro League,550000.0
A. Al Fahad,27,Saudi Arabia,64,Al Raed,176,73,CB,67,22.0,73.0,46.0,54.0,55.0,63.0,72.0,3,2,1.0,Pro League,675000.0
A. Al Fahad,28,Saudi Arabia,64,Al Raed,178,75,CB,64,23.0,73.0,46.0,52.0,54.0,63.0,72.0,3,2,1.0,Pro League,500000.0
A. Al Fahad,29,Saudi Arabia,63,Al Raed,178,75,CB,63,24.0,73.0,46.0,51.0,55.0,62.0,71.0,3,2,1.0,Pro League,400000.0
A. Al Ghamdi,19,Saudi Arabia,63,Al Ittihad,172,66,"ST, CAM",68,15.0,67.0,64.0,59.0,63.0,31.0,59.0,3,3,1.0,Pro League,275000.0
A. Al Ghamdi,20,Saudi Arabia,68,Al Ittihad,172,66,"ST, CAM",77,16.0,75.0,68.0,61.0,64.0,23.0,65.0,3,3,1.0,Pro League,1400000.0
A. Al Ghamdi,21,Saudi Arabia,69,Al Ittihad,178,69,"ST, RM, CAM",78,17.0,77.0,67.0,61.0,69.0,23.0,67.0,3,3,1.0,Pro League,1600000.0
A. Al Ghamdi,22,Saudi Arabia,67,Al Ittihad,178,69,"ST, RM, LM, CAM",73,18.0,75.0,64.0,61.0,67.0,23.0,69.0,3,3,1.0,Pro League,1100000.0
A. Al Ghamdi,23,Saudi Arabia,66,Al Ittihad,175,70,"RM, ST, CAM",72,19.0,75.0,66.0,61.0,68.0,37.0,68.0,3,3,1.0,Pro League,875000.0
A. Al Ghamdi,24,Saudi Arabia,65,Al Ittihad,175,70,"RM, ST, CAM",70,20.0,75.0,66.0,60.0,67.0,37.0,68.0,3,3,1.0,Pro League,725000.0
A. Al Ghamdi,25,Saudi Arabia,64,Al Ittihad,175,70,"RW, ST, CAM",67,21.0,73.0,66.0,59.0,66.0,37.0,67.0,3,3,1.0,Pro League,775000.0
A. Al Ghamdi,26,Saudi Arabia,63,Al Raed,175,70,"RW, ST, CAM",64,22.0,72.0,66.0,58.0,65.0,37.0,63.0,3,3,1.0,Pro League,575000.0
A. Al Ghamdi,19,Saudi Arabia,52,Al Ettifaq,183,73,CDM,66,22.0,55.0,37.0,49.0,52.0,46.0,59.0,2,2,1.0,Pro League,180000.0
A. Al Ghamdi,20,Saudi Arabia,56,Al Ettifaq,178,69,"LM, CM, RM",68,23.0,72.0,47.0,51.0,59.0,41.0,59.0,4,2,1.0,Pro League,350000.0
A. Al Ghamdi,21,Saudi Arabia,60,Al Ettifaq,177,70,"LM, RM",71,24.0,83.0,53.0,52.0,65.0,41.0,58.0,4,3,1.0,Pro League,550000.0
A. Al Hafith,21,Saudi Arabia,65,Al Hilal,188,75,CB,68,15.0,66.0,36.0,39.0,45.0,67.0,72.0,3,2,1.0,Pro League,375000.0
A. Al Hafith,22,Saudi Arabia,64,Al Hilal,188,75,CB,69,16.0,66.0,37.0,40.0,46.0,64.0,72.0,3,2,1.0,Pro League,500000.0
A. Al Hafith,23,Saudi Arabia,64,Al Hilal,188,75,CB,69,17.0,63.0,37.0,40.0,45.0,62.0,75.0,3,2,1.0,Pro League,500000.0
A. Al Hafith,24,Saudi Arabia,65,Al Hilal,188,75,CB,74,18.0,61.0,37.0,42.0,45.0,64.0,77.0,3,2,1.0,Pro League,725000.0
A. Al Hafith,25,Saudi Arabia,67,Al Hilal,186,77,CB,74,19.0,59.0,37.0,49.0,45.0,65.0,78.0,3,2,1.0,Pro League,900000.0
A. Al Hafith,26,Saudi Arabia,65,Al Hilal,186,77,CB,70,20.0,37.0,36.0,49.0,42.0,63.0,78.0,3,2,1.0,Pro League,625000.0
A. Al Hafith,27,Saudi Arabia,65,Al Hilal,188,80,CB,67,21.0,33.0,36.0,49.0,44.0,64.0,78.0,3,2,1.0,Pro League,750000.0
A. Al Hafith,28,Saudi Arabia,64,Al Ittihad,188,80,CB,64,22.0,33.0,36.0,49.0,45.0,63.0,77.0,3,2,1.0,Pro League,500000.0
A. Al Hafith,29,Saudi Arabia,64,Al Wahda,185,80,CB,64,23.0,33.0,36.0,49.0,45.0,63.0,74.0,3,2,1.0,Pro League,500000.0
A. Al Hafith,30,Saudi Arabia,63,Al Wahda,185,80,CB,63,24.0,33.0,36.0,49.0,45.0,62.0,74.0,3,2,1.0,Pro League,400000.0
A. Al Khaibari,28,Saudi Arabia,66,Al Shabab,178,70,CDM,66,15.0,72.0,44.0,49.0,52.0,70.0,82.0,2,2,1.0,Pro League,575000.0
A. Al Khaibari,24,Saudi Arabia,58,Al Nassr,181,77,CB,60,15.0,64.0,26.0,33.0,38.0,57.0,65.0,3,2,1.0,Pro League,130000.0
A. Al Khaibari,29,Saudi Arabia,67,Al Shabab,178,72,CDM,67,16.0,72.0,46.0,51.0,52.0,69.0,83.0,2,2,1.0,Pro League,550000.0
A. Al Khaibari,30,Saudi Arabia,70,Al Hilal,175,72,"CDM, CM",70,17.0,73.0,46.0,56.0,59.0,70.0,79.0,2,2,1.0,Pro League,950000.0
A. Al Khaibari,26,Saudi Arabia,65,Al Nassr,180,77,CB,67,17.0,68.0,40.0,38.0,43.0,62.0,75.0,3,2,1.0,Pro League,525000.0
A. Al Khaibari,31,Saudi Arabia,71,Al Hilal,176,62,"CDM, CM",71,18.0,71.0,46.0,57.0,59.0,72.0,77.0,2,2,1.0,Pro League,1600000.0
A. Al Khaibari,27,Saudi Arabia,64,Al Ettifaq,181,77,CB,64,18.0,65.0,40.0,38.0,42.0,61.0,76.0,3,2,1.0,Pro League,375000.0
A. Al Khaibari,20,Saudi Arabia,55,Al Shabab,172,69,CDM,65,18.0,68.0,38.0,47.0,50.0,54.0,59.0,3,2,1.0,Pro League,110000.0
A. Al Khaibari,32,Saudi Arabia,69,Al Hilal,177,73,CDM,69,19.0,70.0,46.0,55.0,58.0,69.0,76.0,2,2,1.0,Pro League,600000.0
A. Al Khaibari,21,Saudi Arabia,63,Al Shabab,175,66,"CDM, CM",73,19.0,67.0,38.0,53.0,59.0,61.0,68.0,3,2,1.0,Pro League,525000.0
A. Al Khaibari,28,Saudi Arabia,63,Al Ettifaq,180,77,CB,63,19.0,62.0,40.0,38.0,41.0,60.0,76.0,3,2,1.0,Pro League,300000.0
A. Al Khaibari,33,Saudi Arabia,67,Al Shabab,177,73,CDM,67,20.0,66.0,45.0,53.0,58.0,68.0,71.0,2,2,1.0,Pro League,375000.0
A. Al Khaibari,22,Saudi Arabia,66,Al Nassr,175,66,"CDM, CM",74,20.0,67.0,43.0,59.0,62.0,63.0,72.0,3,2,1.0,Pro League,875000.0
A. Al Khaibari,29,Saudi Arabia,62,Al Ettifaq,180,77,CB,62,20.0,56.0,40.0,38.0,40.0,59.0,74.0,3,2,1.0,Pro League,250000.0
A. Al Khaibari,23,Saudi Arabia,66,Al Nassr,175,66,CDM,74,21.0,67.0,43.0,59.0,62.0,63.0,73.0,3,2,1.0,Pro League,1800000.0
A. Al Khaibari,34,Saudi Arabia,65,Al Shabab,175,72,CDM,65,21.0,63.0,44.0,52.0,55.0,67.0,72.0,2,2,1.0,Pro League,240000.0
A. Al Khaibari,30,Saudi Arabia,61,Al Ettifaq,181,77,CB,61,21.0,56.0,40.0,38.0,40.0,59.0,74.0,3,2,1.0,Pro League,275000.0
A. Al Khaibari,24,Saudi Arabia,65,Al Nassr,175,66,"CDM, CM",72,22.0,68.0,43.0,59.0,61.0,63.0,68.0,3,2,1.0,Pro League,1300000.0
A. Al Khaibari,25,Saudi Arabia,67,Al Nassr,175,75,"CDM, CM",72,23.0,63.0,43.0,59.0,63.0,65.0,69.0,3,2,1.0,Pro League,1400000.0
A. Al Khaibari,26,Saudi Arabia,68,Al Nassr,175,75,"CDM, CM",71,24.0,64.0,43.0,60.0,64.0,65.0,71.0,3,2,1.0,Pro League,1400000.0
A. Al Khaibari,27,Saudi Arabia,57,Al Riyadh,173,70,"LB, LWB",58,24.0,73.0,41.0,50.0,52.0,53.0,52.0,3,2,1.0,Pro League,170000.0
A. Al Salem,21,Saudi Arabia,56,Al Khaleej,183,72,"CAM, LM",61,15.0,67.0,57.0,48.0,54.0,32.0,56.0,3,2,1.0,Pro League,90000.0
A. Al Salem,22,Saudi Arabia,62,Al Khaleej,183,72,"CAM, LM, ST",67,16.0,64.0,63.0,57.0,61.0,35.0,61.0,3,3,1.0,Pro League,375000.0
A. Al Salem,23,Saudi Arabia,64,Al Khaleej,183,75,"ST, CAM",71,17.0,60.0,63.0,58.0,63.0,35.0,64.0,3,3,1.0,Pro League,625000.0
A. Al Salem,24,Saudi Arabia,66,Al Fayha,183,75,"CAM, ST, CDM",72,18.0,65.0,64.0,60.0,65.0,56.0,67.0,3,3,1.0,Pro League,875000.0
A. Al Salem,25,Saudi Arabia,66,Al Fayha,184,74,"CAM, ST",68,19.0,66.0,65.0,60.0,65.0,54.0,68.0,3,3,1.0,Pro League,775000.0
A. Al Salem,26,Saudi Arabia,66,Al Nassr,184,74,"ST, CAM",68,20.0,64.0,65.0,60.0,66.0,54.0,68.0,3,3,1.0,Pro League,800000.0
A. Al Salem,27,Saudi Arabia,64,Al Ettifaq,184,74,"ST, CAM",65,21.0,63.0,65.0,60.0,66.0,54.0,67.0,3,3,1.0,Pro League,675000.0
A. Al Salem,27,Saudi Arabia,57,Al Adalh,177,64,LB,58,21.0,70.0,24.0,48.0,53.0,53.0,57.0,3,2,1.0,Pro League,170000.0
A. Al Salem,28,Saudi Arabia,63,Al Ettifaq,181,76,"ST, CAM",63,22.0,62.0,62.0,58.0,62.0,52.0,67.0,3,3,1.0,Pro League,500000.0
A. Al Salem,29,Saudi Arabia,63,Al Ettifaq,183,77,"ST, CAM",63,23.0,61.0,62.0,58.0,62.0,52.0,67.0,3,3,1.0,Pro League,475000.0
A. Al Salem,23,Saudi Arabia,56,Al Adalh,181,79,LB,61,23.0,69.0,24.0,48.0,52.0,51.0,58.0,3,2,1.0,Pro League,200000.0
A. Al Salem,30,Saudi Arabia,61,Al Khaleej,183,78,"ST, CAM",61,24.0,59.0,61.0,58.0,59.0,52.0,68.0,3,3,1.0,Pro League,325000.0
A. Al Shammari,26,Saudi Arabia,54,Al Orobah,173,67,RB,57,15.0,78.0,30.0,49.0,56.0,51.0,52.0,3,2,1.0,Pro League,100000.0
A. Al Shammari,22,Saudi Arabia,49,Al Orobah,167,63,CAM,53,15.0,61.0,36.0,56.0,50.0,35.0,45.0,3,3,1.0,Pro League,30000.0
A. Al Shammari,26,Saudi Arabia,64,Al Nassr,173,67,RB,67,16.0,86.0,34.0,57.0,64.0,59.0,67.0,3,2,1.0,Pro League,425000.0
A. Al Shammari,21,Saudi Arabia,53,Al Taawon,186,64,"LB, CB",61,16.0,63.0,26.0,34.0,52.0,54.0,59.0,3,2,1.0,Pro League,80000.0
A. Al Shammari,27,Saudi Arabia,65,Al Taawon,172,60,RB,66,17.0,87.0,34.0,57.0,53.0,59.0,70.0,3,2,1.0,Pro League,475000.0
A. Al Shammari,20,Saudi Arabia,58,Al Shabab,177,63,LM,69,17.0,70.0,46.0,53.0,60.0,33.0,55.0,2,2,1.0,Pro League,230000.0
A. Al Shammari,22,Saudi Arabia,57,Al Taawon,186,64,LB,62,17.0,62.0,26.0,45.0,50.0,55.0,66.0,3,2,1.0,Pro League,130000.0
A. Al Shammari,20,Saudi Arabia,51,Al Batin,168,57,CM,56,17.0,64.0,43.0,55.0,50.0,35.0,41.0,3,3,1.0,Pro League,60000.0
A. Al Shammari,28,Saudi Arabia,65,Al Raed,165,60,RB,65,18.0,88.0,34.0,57.0,53.0,59.0,69.0,3,2,1.0,Pro League,425000.0
A. Al Shammari,21,Saudi Arabia,58,Al Batin,177,68,LM,69,18.0,69.0,46.0,53.0,60.0,33.0,55.0,2,2,1.0,Pro League,220000.0
A. Al Shammari,23,Saudi Arabia,57,Al Taawon,186,64,LB,63,18.0,61.0,26.0,45.0,50.0,55.0,67.0,3,2,1.0,Pro League,120000.0
A. Al Shammari,21,Saudi Arabia,52,Al Batin,168,57,CM,57,18.0,64.0,43.0,55.0,50.0,35.0,46.0,3,3,1.0,Pro League,70000.0
A. Al Shammari,24,Saudi Arabia,64,Al Ittihad,188,60,"CB, LB",70,19.0,60.0,38.0,49.0,53.0,64.0,67.0,3,2,1.0,Pro League,525000.0
A. Al Shammari,29,Saudi Arabia,63,Al Raed,165,60,RB,63,19.0,87.0,33.0,56.0,53.0,56.0,70.0,3,2,1.0,Pro League,275000.0
A. Al Shammari,22,Saudi Arabia,59,Al Shabab,178,66,"LM, LW, CM",67,19.0,70.0,46.0,54.0,61.0,41.0,56.0,2,3,1.0,Pro League,230000.0
A. Al Shammari,25,Saudi Arabia,63,Al Hazem,188,72,"CB, LB",66,20.0,55.0,38.0,48.0,52.0,63.0,67.0,3,2,1.0,Pro League,425000.0
A. Al Shammari,23,Saudi Arabia,62,Al Shabab,178,66,"LB, CM",69,20.0,76.0,48.0,57.0,65.0,54.0,65.0,2,3,1.0,Pro League,375000.0
